,name,gender,is_buy,amount,platform,sighup_days,history_times,history_amount,last_buy_date,today_search_times,last_day_search_times,sigh_up_days_last_week,last_buy_date_to_now,city,province
21,钱伟,male,1,15.9,ios,15,3,959.7,2021/4/21,1,1,0,4,玉林,广西
22,钱明,male,1,62.9,adr,21,7,804.3,2021/4/14,1,1,0,11,嘉峪关,甘肃
23,钱军,male,1,31.9,ios,84,12,394.8,2021/4/18,1,1,0,7,南平,福建
24,钱子轩,male,1,15.9,ios,36,6,83.4,2021/4/2,2,1,0,23,蚌埠,安徽
25,钱浩轩,male,1,55.9,adr,40,8,175.2,2021/4/19,3,2,0,6,包头,内蒙古
26,钱皓轩,male,1,160.9,adr,24,4,411.6,2021/4/23,2,1,0,2,上海,上海
27,钱子涵,male,1,59.9,adr,92,23,1607.7,2021/2/17,1,0,0,67,重庆,重庆
28,钱一诺,male,1,34.9,adr,21,7,426.3,2021/4/10,2,2,0,15,三门峡,河南
29,钱宇航,male,1,40.9,ios,0,0,0,2021/4/25,1,0,0,0,北京,北京
30,钱昊然,male,1,32.9,ios,112,14,572.6,2021/1/25,3,1,0,90,周口,河南
31,钱一鸣,male,1,55.9,adr,27,9,71.1,2021/4/8,2,1,0,17,成都,四川
32,钱子宸,male,1,258.9,ios,219,73,16636.7,2021/4/2,2,1,0,23,杭州,浙江
33,钱子豪,male,1,93.9,adr,76,19,5774.1,2021/4/8,3,2,0,17,秦皇岛,河北
34,钱明轩,male,1,271.9,ios,268,67,2070.3,2020/11/18,1,0,0,158,阿勒泰,新疆
35,钱致远,male,1,143.9,adr,140,28,501.2,2021/4/15,1,0,0,10,香港,香港
36,钱俊熙,male,1,76.9,adr,132,22,2043.8,2020/12/20,2,1,0,126,石河子,新疆
37,钱天佑,male,1,41.9,adr,96,12,22.8,2021/2/23,2,1,0,61,宜宾,四川
38,钱睿,male,1,171.9,adr,231,33,1976.7,2021/3/30,3,1,0,26,郴州,湖南
39,钱子睿,male,1,53.9,ios,30,15,688.5,2021/3/29,1,1,0,27,深圳,广东
40,钱宇轩,male,1,84.9,adr,126,21,1215.9,2021/3/27,2,1,0,29,通化,吉林
41,钱致远,male,1,126.9,ios,20,4,215.6,2021/4/21,2,0,2,4,宜春,江西
42,孙伟,male,1,1.9,ios,1,1,58.9,2021/4/25,2,1,6,0,重庆,重庆
43,孙明,male,1,26.9,adr,10,5,169.5,2021/4/16,4,2,0,9,重庆,重庆
44,孙军,male,1,17.9,adr,8,8,247.2,2021/4/18,3,3,0,7,大连,辽宁
45,孙子轩,male,1,20.9,adr,25,5,129.5,2021/4/7,2,1,0,18,上海,上海
46,孙浩轩,male,1,9.9,ios,0,0,0,2021/4/25,3,3,1,0,普洱,云南
47,孙皓轩,male,1,26.9,adr,48,6,41.4,2021/3/13,1,0,0,43,龙岩,福建
48,孙子涵,male,1,45.9,ios,42,6,53.4,2021/4/14,2,1,0,11,北京,北京
49,孙一诺,male,1,98.9,ios,160,32,2812.8,2021/4/18,2,1,0,7,深圳,广东
50,孙宇航,male,1,57.9,adr,6,1,8.9,2021/4/25,3,1,6,0,重庆,重庆
51,孙昊然,male,1,196.9,ios,528,66,851.4,2021/2/1,3,2,0,83,哈尔滨,黑龙江
52,孙一鸣,male,1,6.9,adr,9,3,137.7,2021/4/17,3,1,0,8,蚌埠,安徽
53,孙子宸,male,1,58.9,adr,189,21,669.9,2021/1/11,4,2,0,104,沈阳,辽宁
54,孙子豪,male,1,144.9,ios,58,29,2027.1,2021/4/15,2,0,0,10,天津,天津
55,孙明轩,male,1,77.9,adr,84,21,2559.9,2021/3/14,3,1,0,42,济南,山东
56,孙致远,male,1,4.9,adr,15,5,84.5,2021/4/21,2,1,1,4,滨州,山东
57,孙俊熙,male,1,8.9,adr,0,0,0,2021/4/25,2,0,1,0,牡丹江,黑龙江
58,孙天佑,male,1,20.9,adr,18,6,281.4,2021/4/12,1,1,0,13,重庆,重庆
59,孙睿,male,1,36.9,adr,65,13,1792.7,2021/4/17,2,0,0,8,无锡,江苏
60,孙子睿,male,1,418.9,adr,100,100,37690,2021/2/18,2,1,0,66,青岛,山东
61,孙宇轩,male,1,437.9,adr,116,29,4376.1,2021/2/13,2,1,0,71,郑州,河南
62,孙致远,male,1,66.9,adr,96,12,946.8,2021/4/14,3,1,0,11,商洛,陕西
63,李伟,male,1,37.9,adr,104,13,2130.7,2021/3/7,5,2,0,49,滁州,安徽
64,李明,male,1,22.9,adr,5,5,314.5,2021/4/21,1,0,1,4,武汉,湖北
65,李军,male,1,12.9,ios,14,2,49.8,2021/4/18,3,1,0,7,伊春,黑龙江
66,李子轩,male,1,35.9,ios,30,15,958.5,2021/4/10,2,1,0,15,宜昌,湖北
67,李浩轩,male,1,154.9,adr,0,0,0,2021/4/25,2,1,1,0,苏州,江苏
68,李皓轩,male,1,386.9,adr,86,86,3431.4,2021/2/18,2,1,0,66,雅安,四川
69,李子涵,male,1,6.9,ios,5,1,423.9,2021/4/23,4,3,1,2,酒泉,甘肃
70,李一诺,male,1,46.9,adr,136,17,814.3,2021/1/23,1,1,0,92,呼和浩特,内蒙古
71,李宇航,male,1,159.9,adr,120,30,6057,2021/3/28,2,1,0,28,莆田,福建
72,李昊然,male,1,7.9,adr,5,5,474.5,2021/4/25,2,1,5,0,延边,吉林
73,李一鸣,male,1,10.9,adr,18,6,251.4,2021/4/15,5,2,0,10,拉萨,西藏
74,李子宸,male,1,82.9,adr,42,14,96.6,2021/4/20,2,1,1,5,哈尔滨,黑龙江
75,李子豪,male,1,12.9,adr,9,3,164.7,2021/4/18,2,1,0,7,苏州,江苏
76,李明轩,male,1,171.9,ios,60,60,3354,2021/3/24,2,1,0,32,聊城,山东
77,李致远,male,1,97.9,ios,119,17,1936.3,2021/1/6,1,0,0,109,朔州,山西
78,李俊熙,male,1,36.9,ios,40,5,39.5,2021/3/26,3,1,0,30,深圳,广东
79,李天佑,male,1,40.9,adr,30,6,413.4,2021/3/30,2,2,0,26,忻州,山西
80,李睿,male,1,15.9,ios,54,9,1313.1,2021/3/26,2,2,0,30,仙桃,湖北
81,李子睿,male,1,173.9,adr,126,42,11461.8,2021/3/8,2,1,0,48,湛江,广东
82,李宇轩,male,1,88.9,adr,60,10,529,2021/2/27,3,3,0,57,大兴安岭,黑龙江
83,李致远,male,1,22.9,adr,32,8,735.2,2021/4/22,1,0,0,3,巢湖,安徽
84,周伟,male,1,209.9,adr,15,5,9.5,2021/4/16,4,3,0,9,七台河,黑龙江
85,周明,male,1,88.9,adr,248,31,523.9,2021/2/25,2,1,0,59,深圳,广东
86,周军,male,1,20.9,ios,2,2,59.8,2021/4/25,2,1,0,0,深圳,广东
87,周子轩,male,1,40.9,adr,36,4,1275.6,2021/3/27,2,1,0,29,鄂州,湖北
88,周浩轩,male,1,194.9,ios,351,39,425.1,2021/3/6,2,1,0,50,玉林,广西
89,周皓轩,male,1,100.9,adr,36,4,211.6,2021/3/25,2,1,0,31,沈阳,辽宁
90,周子涵,male,1,151.9,ios,180,45,4180.5,2020/11/29,1,1,0,147,重庆,重庆
91,周一诺,male,1,69.9,ios,14,14,432.6,2021/4/22,2,1,3,3,株洲,湖南
92,周宇航,male,1,200.9,adr,285,57,1818.3,2020/9/4,2,1,0,233,深圳,广东
93,周昊然,male,1,146.9,adr,8,4,339.6,2021/4/18,1,0,0,7,普洱,云南
94,周一鸣,male,1,69.9,adr,12,4,59.6,2021/4/15,2,1,0,10,济宁,山东
95,周子宸,male,1,54.9,adr,45,9,674.1,2021/4/7,4,2,0,18,红河,云南
96,周子豪,male,1,101.9,ios,182,26,673.4,2020/12/18,2,1,0,128,鹤壁,河南
97,周明轩,male,1,11.9,adr,42,6,65.4,2021/3/19,4,3,0,37,衢州,浙江
98,周致远,male,1,424.9,adr,60,20,958,2021/4/4,2,1,0,21,重庆,重庆
99,周俊熙,male,1,117.9,adr,115,23,526.7,2021/3/25,3,1,0,31,昭通,云南
100,周天佑,male,1,5.9,adr,20,5,269.5,2021/4/18,2,2,0,7,苏州,江苏
101,周睿,male,1,32.9,adr,54,9,170.1,2021/4/10,3,2,0,15,昭通,云南
102,周子睿,male,1,29.9,ios,52,13,1649.7,2021/4/7,2,1,0,18,宿迁,江苏
103,周宇轩,male,1,7.9,ios,20,4,591.6,2021/4/12,1,0,0,13,酒泉,甘肃
104,周致远,male,1,41.9,adr,21,7,489.3,2021/4/11,1,1,0,14,沈阳,辽宁
105,吴伟,male,1,52.9,adr,14,14,810.6,2021/4/14,1,0,0,11,黄冈,湖北
106,吴明,male,1,63.9,adr,42,7,244.3,2021/4/23,2,1,4,2,遵义,贵州
107,吴军,male,1,31.9,ios,98,14,1090.6,2021/3/30,2,1,0,26,阿勒泰,新疆
108,吴子轩,male,1,15.9,adr,28,7,321.3,2021/4/5,2,1,0,20,宿州,安徽
109,吴浩轩,male,1,17.9,ios,6,6,359.4,2021/4/24,1,1,2,1,辽源,吉林
110,吴皓轩,male,1,12.9,adr,0,0,0,2021/4/25,2,1,5,0,沈阳,辽宁
111,吴子涵,male,1,3.9,adr,1,1,121.9,2021/4/24,1,1,4,1,海北,青海
112,吴一诺,male,1,3.9,ios,9,1,103.9,2021/4/17,2,1,0,8,厦门,福建
113,吴宇航,male,1,3.9,adr,9,3,14.7,2021/4/19,2,1,0,6,宿州,安徽
114,吴昊然,male,1,96.9,adr,144,18,736.2,2021/2/24,1,1,0,60,沈阳,辽宁
115,吴一鸣,male,1,23.9,ios,10,10,909,2021/4/23,1,1,4,2,汕尾,广东
116,吴子宸,male,1,27.9,ios,40,8,1887.2,2021/4/15,2,1,0,10,上海,上海
117,吴子豪,male,1,46.9,ios,114,19,5128.1,2021/3/19,2,1,0,37,宿迁,江苏
118,吴明轩,male,1,105.9,adr,52,26,1297.4,2021/4/15,2,1,0,10,海北,青海
119,吴致远,male,1,48.9,adr,24,4,23.6,2021/4/23,2,1,1,2,自贡,四川
120,吴俊熙,male,1,295.9,adr,224,28,5233.2,2020/11/22,2,0,0,154,盘锦,辽宁
121,吴天佑,male,1,245.9,ios,288,32,5436.8,2021/2/22,2,1,0,62,日喀则,西藏
122,吴睿,male,1,7.9,adr,0,0,0,2021/4/25,3,1,4,0,赤峰,内蒙古
123,吴子睿,male,1,116.9,adr,76,19,302.1,2021/4/10,4,2,0,15,乌兰察布,内蒙古
124,吴宇轩,male,1,44.9,adr,90,15,973.5,2021/4/16,3,1,0,9,武威,甘肃
125,吴致远,male,1,29.9,adr,50,10,409,2021/3/8,2,1,0,48,上饶,江西
126,郑伟,male,1,94.9,adr,99,11,163.9,2021/1/29,1,1,0,86,安康,陕西
127,郑明,male,1,16.9,adr,36,9,62.1,2021/4/23,2,1,3,2,海口,海南
128,郑军,male,1,356.9,adr,344,86,8505.4,2021/3/25,1,1,0,31,南平,福建
129,郑子轩,male,1,80.9,adr,75,15,4258.5,2021/4/10,2,1,0,15,临夏,甘肃
130,郑浩轩,male,1,52.9,adr,6,2,9.8,2021/4/24,3,1,4,1,广州,广东
131,郑皓轩,male,1,54.9,adr,180,20,718,2021/2/17,2,1,0,67,盘锦,辽宁
132,郑子涵,male,1,56.9,ios,0,0,0,2021/4/25,2,1,3,0,遵义,贵州
133,郑一诺,male,1,160.9,ios,96,32,316.8,2021/3/26,3,3,0,30,厦门,福建
134,郑宇航,male,1,2.9,adr,0,0,0,2021/4/25,2,1,3,0,焦作,河南
135,郑昊然,male,1,27.9,adr,36,12,982.8,2021/4/2,1,0,0,23,辽源,吉林
136,郑一鸣,male,1,122.9,adr,76,38,2314.2,2021/3/10,2,1,0,46,内江,四川
137,郑子宸,male,1,177.9,adr,0,0,0,2021/4/25,2,1,0,0,包头,内蒙古
138,郑子豪,male,1,320.9,adr,488,61,4507.9,2020/10/3,1,0,0,204,塔城,新疆
139,郑明轩,male,1,31.9,adr,49,7,1644.3,2021/4/16,2,1,0,9,哈尔滨,黑龙江
140,郑致远,male,1,49.9,ios,12,2,75.8,2021/4/19,2,1,0,6,本溪,辽宁
141,郑俊熙,male,1,74.9,ios,12,2,83.8,2021/4/13,2,1,0,12,甘孜,四川
142,郑天佑,male,1,27.9,ios,60,12,1870.8,2021/4/13,4,2,0,12,西双版纳,云南
143,郑睿,male,1,55.9,ios,12,4,7.6,2021/4/22,2,1,0,3,天津,天津
144,郑子睿,male,1,413.9,ios,744,93,1850.7,2020/2/14,2,1,0,436,江门,广东
145,郑宇轩,male,1,151.9,ios,424,53,3704.7,2021/3/13,2,2,0,43,杭州,浙江
146,郑致远,male,1,9.9,adr,40,5,444.5,2021/4/17,2,1,0,8,通化,吉林
147,王伟,male,1,112.9,adr,272,34,710.6,2020/7/27,2,0,0,272,漯河,河南
148,王明,male,1,7.9,adr,27,3,5.7,2021/4/3,3,2,0,22,哈尔滨,黑龙江
149,王军,male,1,63.9,adr,0,0,0,2021/4/25,1,1,6,0,宝鸡,陕西
150,王子轩,male,1,163.9,adr,400,50,1095,2020/7/21,1,0,0,278,衢州,浙江
151,王浩轩,male,1,4.9,adr,6,1,36.9,2021/4/19,1,0,0,6,威海,山东
152,王皓轩,male,1,50.9,adr,144,16,270.4,2021/4/9,3,1,0,16,益阳,湖南
153,王子涵,male,1,186.9,ios,65,65,5518.5,2021/3/25,3,2,0,31,铜仁,贵州
154,王一诺,male,1,143.9,adr,400,50,3295,2021/3/31,2,1,0,25,保定,河北
155,王宇航,male,1,28.9,ios,0,0,0,2021/4/25,1,1,1,0,菏泽,山东
156,王昊然,male,1,30.9,ios,5,5,594.5,2021/4/20,1,1,0,5,鄂州,湖北
157,王一鸣,male,1,113.9,ios,120,30,897,2021/4/2,3,2,0,23,上海,上海
158,王子宸,male,1,23.9,adr,12,4,211.6,2021/4/16,2,0,0,9,北京,北京
159,王子豪,male,1,51.9,adr,80,20,2018,2021/2/25,3,1,0,59,惠州,广东
160,王明轩,male,1,97.9,ios,87,29,258.1,2021/3/31,2,1,0,25,西双版纳,云南
161,王致远,male,1,145.9,adr,120,40,8476,2021/1/22,2,1,0,93,三明,福建
162,王俊熙,male,1,4.9,ios,0,0,0,2021/4/25,1,0,4,0,青岛,山东
163,王天佑,male,1,67.9,adr,18,18,610.2,2021/4/21,2,1,0,4,绵阳,四川
164,王睿,male,1,3.9,adr,2,1,7.9,2021/4/23,4,1,4,2,泸州,四川
165,王子睿,male,1,133.9,adr,296,37,5287.3,2020/9/23,5,1,0,214,厦门,福建
166,王宇轩,male,1,61.9,adr,18,9,215.1,2021/4/8,2,1,0,17,六盘水,贵州
167,王致远,male,1,8.9,ios,0,0,0,2021/4/25,3,2,5,0,武汉,湖北
168,冯伟,male,1,26.9,adr,90,10,869,2021/2/12,2,1,0,72,深圳,广东
169,冯明,male,1,13.9,adr,48,8,2463.2,2021/3/22,1,0,0,34,怒江,云南
170,冯军,male,1,84.9,ios,40,20,2018,2021/3/24,2,1,0,32,北京,北京
171,冯子轩,male,1,2.9,adr,14,2,355.8,2021/4/25,2,1,1,0,绵阳,四川
172,冯浩轩,male,1,19.9,adr,27,9,143.1,2021/4/15,1,1,0,10,郑州,河南
173,冯皓轩,male,1,9.9,ios,0,0,0,2021/4/25,1,1,2,0,湘西,湖南
174,冯子涵,male,1,5.9,adr,20,4,195.6,2021/4/23,5,4,0,2,拉萨,西藏
175,冯一诺,male,1,144.9,adr,132,33,722.7,2021/1/29,2,1,0,86,上海,上海
176,冯宇航,male,1,137.9,adr,99,11,2297.9,2021/3/13,5,3,0,43,阿勒泰,新疆
177,冯昊然,male,1,137.9,ios,315,45,7915.5,2021/4/12,2,1,0,13,杭州,浙江
178,冯一鸣,male,1,41.9,adr,0,0,0,2021/4/25,5,3,4,0,遂宁,四川
179,冯子宸,male,1,103.9,adr,20,10,39,2021/4/24,2,1,0,1,三门峡,河南
180,冯子豪,male,1,113.9,ios,140,20,3058,2021/1/16,2,1,0,99,济宁,山东
181,冯明轩,male,1,27.9,adr,36,4,95.6,2021/4/13,4,2,0,12,眉山,四川
182,冯致远,male,1,96.9,adr,30,6,17.4,2021/3/29,1,0,0,27,肇庆,广东
183,冯俊熙,male,1,26.9,adr,96,12,826.8,2021/4/5,1,1,0,20,大兴安岭,黑龙江
184,冯天佑,male,1,137.9,adr,287,41,118.9,2021/3/8,3,2,0,48,长春,吉林
185,冯睿,male,1,56.9,ios,90,15,3793.5,2021/2/28,2,1,0,56,漯河,河南
186,冯子睿,male,1,11.9,adr,25,5,234.5,2021/4/5,2,1,0,20,石嘴山,宁夏
187,冯宇轩,male,1,39.9,adr,64,16,158.4,2021/3/17,1,0,0,39,盘锦,辽宁
188,冯致远,male,1,33.9,adr,5,5,79.5,2021/4/23,3,2,1,2,上饶,江西
189,陈伟,male,1,43.9,adr,56,14,82.6,2021/3/4,4,2,0,52,泸州,四川
190,陈明,male,1,82.9,ios,24,24,981.6,2021/4/23,1,0,1,2,淄博,山东
191,陈军,male,1,73.9,adr,0,0,0,2021/4/25,3,3,1,0,深圳,广东
192,陈子轩,male,1,138.9,adr,176,22,85.8,2020/10/31,3,1,0,176,苏州,江苏
193,陈浩轩,male,1,83.9,ios,207,23,1446.7,2020/11/14,2,1,0,162,呼伦贝尔,内蒙古
194,陈皓轩,male,1,59.9,ios,32,4,339.6,2021/4/8,2,1,0,17,大连,辽宁
195,陈子涵,male,1,27.9,adr,35,7,398.3,2021/4/23,2,1,2,2,牡丹江,黑龙江
196,陈一诺,male,1,15.9,ios,0,0,0,2021/4/25,2,1,6,0,北京,北京
197,陈宇航,male,1,19.9,ios,60,10,569,2021/4/22,3,2,3,3,菏泽,山东
198,陈昊然,male,1,179.9,adr,0,0,0,2021/4/25,3,2,0,0,枣庄,山东
199,陈一鸣,male,1,117.9,adr,81,27,1806.3,2021/4/6,2,1,0,19,巴音郭楞,新疆
200,陈子宸,male,1,44.9,adr,18,18,340.2,2021/4/20,3,1,0,5,天津,天津
201,陈子豪,male,1,100.9,adr,110,22,547.8,2021/2/24,4,3,0,60,甘孜,四川
202,陈明轩,male,1,183.9,adr,248,31,1422.9,2020/11/25,3,1,0,151,长治,山西
203,陈致远,male,1,51.9,adr,14,14,110.6,2021/4/11,1,1,0,14,济源,河南
204,陈俊熙,male,1,130.9,ios,4,4,35.6,2021/4/23,3,1,4,2,苏州,江苏
205,陈天佑,male,1,23.9,adr,77,11,1043.9,2021/4/21,1,0,0,4,本溪,辽宁
206,陈睿,male,1,35.9,adr,15,15,613.5,2021/4/19,2,1,0,6,茂名,广东
207,陈子睿,male,1,32.9,adr,7,1,74.9,2021/4/23,2,2,2,2,香港,香港
208,陈宇轩,male,1,1.9,adr,8,1,29.9,2021/4/25,2,1,4,0,景德镇,江西
209,陈致远,male,1,43.9,ios,18,9,98.1,2021/4/19,2,1,0,6,衡阳,湖南
210,褚伟,male,1,29.9,ios,11,11,1351.9,2021/4/22,2,1,2,3,赤峰,内蒙古
211,褚明,male,1,52.9,adr,66,11,130.9,2021/3/18,1,0,0,38,佳木斯,黑龙江
212,褚军,male,1,108.9,adr,30,15,358.5,2021/4/2,2,0,0,23,内江,四川
213,褚子轩,male,1,65.9,adr,200,25,572.5,2020/12/26,2,0,0,120,鄂尔多斯,内蒙古
214,褚浩轩,male,1,14.9,adr,14,7,545.3,2021/4/15,1,1,0,10,黄山,安徽
215,褚皓轩,male,1,61.9,adr,36,18,1726.2,2021/4/22,1,0,0,3,雅安,四川
216,褚子涵,male,1,118.9,adr,287,41,282.9,2020/12/25,1,0,0,121,广州,广东
217,褚一诺,male,1,72.9,ios,81,27,861.3,2021/3/4,3,1,0,52,黔东南,贵州
218,褚宇航,male,1,62.9,ios,46,23,112.7,2021/4/8,3,1,0,17,黔西南,贵州
219,褚昊然,male,1,40.9,adr,50,10,1189,2021/3/25,1,0,0,31,长沙,湖南
220,褚一鸣,male,1,89.9,adr,162,27,4101.3,2020/12/16,2,1,0,130,吕梁,山西
221,褚子宸,male,1,137.9,adr,294,42,1549.8,2020/8/14,1,0,0,254,北京,北京
222,褚子豪,male,1,17.9,adr,24,3,116.7,2021/4/17,3,2,0,8,天津,天津
223,褚明轩,male,1,107.9,ios,74,37,662.3,2021/3/1,5,2,0,55,鄂州,湖北
224,褚致远,male,1,9.9,adr,18,2,329.8,2021/4/10,2,1,0,15,上海,上海
225,褚俊熙,male,1,97.9,adr,4,1,23.9,2021/4/22,2,1,2,3,红河,云南
226,褚天佑,male,1,151.9,adr,51,51,2238.9,2021/3/13,3,1,0,43,深圳,广东
227,褚睿,male,1,24.9,ios,56,7,839.3,2021/3/31,4,2,0,25,南阳,河南
228,褚子睿,male,1,30.9,adr,49,7,412.3,2021/3/26,2,2,0,30,包头,内蒙古
229,褚宇轩,male,1,94.9,ios,81,27,1995.3,2021/3/2,2,1,0,54,十堰,湖北
230,褚致远,male,1,5.9,adr,16,2,443.8,2021/4/13,1,0,0,12,六盘水,贵州
231,卫伟,male,1,161.9,adr,40,20,458,2021/3/16,2,1,0,40,十堰,湖北
232,卫明,male,1,30.9,ios,16,2,19.8,2021/4/11,2,2,0,14,哈尔滨,黑龙江
233,卫军,male,1,104.9,adr,105,15,58.5,2021/2/25,2,1,0,59,武汉,湖北
234,卫子轩,male,1,170.9,ios,18,18,9754.2,2021/4/10,2,1,0,15,玉树,青海
235,卫浩轩,male,1,87.9,adr,140,28,4925.2,2021/2/11,1,0,0,73,深圳,广东
236,卫皓轩,male,1,67.9,adr,39,13,3404.7,2021/4/8,2,1,0,17,广州,广东
237,卫子涵,male,1,234.9,adr,230,46,10115.4,2020/10/21,1,0,0,186,广州,广东
238,卫一诺,male,1,11.9,ios,14,7,307.3,2021/4/14,1,1,0,11,中山,广东
239,卫宇航,male,1,89.9,adr,155,31,58.9,2021/3/17,3,2,0,39,永州,湖南
240,卫昊然,male,1,293.9,ios,224,28,3777.2,2020/11/16,4,2,0,160,深圳,广东
241,卫一鸣,male,1,196.9,ios,245,35,9271.5,2021/1/6,2,1,0,109,上海,上海
242,卫子宸,male,1,72.9,adr,68,17,3619.3,2021/3/14,2,1,0,42,十堰,湖北
243,卫子豪,male,1,69.9,ios,6,6,269.4,2021/4/24,1,1,2,1,塔城,新疆
244,卫明轩,male,1,9.9,ios,24,6,77.4,2021/4/2,2,1,0,23,南宁,广西
245,卫致远,male,1,170.9,adr,324,54,9768.6,2020/6/24,2,1,0,305,连云港,江苏
246,卫俊熙,male,1,6.9,adr,35,5,49.5,2021/4/15,1,0,0,10,鄂州,湖北
247,卫天佑,male,1,142.9,ios,328,41,5981.9,2020/12/2,2,1,0,144,文山,云南
248,卫睿,male,1,36.9,adr,90,10,1379,2021/3/16,1,1,0,40,凉山,四川
249,卫子睿,male,1,18.9,adr,7,1,153.9,2021/4/19,2,1,0,6,乌海,内蒙古
250,卫宇轩,male,1,4.9,adr,4,1,88.9,2021/4/23,3,1,0,2,抚州,江西
251,卫致远,male,1,25.9,ios,22,11,1131.9,2021/4/25,3,2,2,0,和田,新疆
252,蒋伟,male,1,132.9,adr,45,9,2087.1,2021/4/3,1,1,0,22,四平,吉林
253,蒋明,male,1,21.9,ios,36,9,179.1,2021/3/28,2,1,0,28,汕尾,广东
254,蒋军,male,1,36.9,adr,3,1,46.9,2021/4/24,5,4,1,1,湘西,湖南
255,蒋子轩,male,1,10.9,ios,6,6,23.4,2021/4/24,2,1,4,1,肇庆,广东
256,蒋浩轩,male,1,70.9,adr,24,6,773.4,2021/4/11,1,0,0,14,天水,甘肃
257,蒋皓轩,male,1,234.9,adr,22,11,97.9,2021/4/10,2,2,0,15,吕梁,山西
258,蒋子涵,male,1,291.9,ios,124,62,1791.8,2021/4/21,2,1,0,4,上海,上海
259,蒋一诺,male,1,167.9,ios,288,32,2140.8,2020/11/23,2,1,0,153,咸阳,陕西
260,蒋宇航,male,1,165.9,adr,318,53,948.7,2021/2/7,5,3,0,77,常州,江苏
261,蒋昊然,male,1,202.9,adr,128,16,446.4,2021/1/3,2,1,0,112,九江,江西
262,蒋一鸣,male,1,14.9,adr,24,4,283.6,2021/4/23,1,0,1,2,包头,内蒙古
263,蒋子宸,male,1,117.9,ios,252,36,356.4,2020/11/10,2,1,0,166,延边,吉林
264,蒋子豪,male,1,25.9,adr,99,11,3716.9,2021/2/21,4,2,0,63,梧州,广西
265,蒋明轩,male,1,32.9,adr,56,8,1775.2,2021/3/23,3,1,0,33,开封,河南
266,蒋致远,male,1,57.9,adr,48,12,454.8,2021/4/10,3,1,0,15,青岛,山东
267,蒋俊熙,male,1,131.9,adr,36,4,151.6,2021/3/31,4,1,0,25,延安,陕西
268,蒋天佑,male,1,102.9,adr,174,29,1882.1,2021/1/5,2,1,0,110,北京,北京
269,蒋睿,male,1,4.9,adr,0,0,0,2021/4/25,2,1,4,0,阳江,广东
270,蒋子睿,male,1,55.9,adr,72,18,232.2,2021/4/16,2,1,0,9,石河子,新疆
271,蒋宇轩,male,1,205.9,adr,490,70,9583,2020/4/8,1,1,0,382,武汉,湖北
272,蒋致远,male,1,2.9,adr,0,0,0,2021/4/25,3,2,0,0,达州,四川
273,沈伟,male,1,238.9,adr,168,28,81.2,2020/12/27,3,2,0,119,沈阳,辽宁
274,沈明,male,1,122.9,adr,96,12,22.8,2021/4/18,2,1,0,7,上海,上海
275,沈军,male,1,90.9,adr,40,20,378,2021/3/30,2,1,0,26,唐山,河北
276,沈子轩,male,1,0.9,adr,15,3,767.7,2021/4/17,4,2,0,8,上海,上海
277,沈浩轩,male,1,32.9,adr,4,2,249.8,2021/4/25,1,1,3,0,苏州,江苏
